"sample_name","Plot","Timepoint","calc_doc","calc_method"
"TMP_C_POOLED_20220613","C","20220613","16.2562829736211","use plot avg DOC for portions missing DOC"
"TMP_C_POOLED_20220615","C","20220615","16.0927083333333","use DOC of each portion"
"TMP_C_POOLED_20220718","C","20220718","14.3425","use DOC of each portion"
"TMP_C_POOLED_20220721","C","20220721","16.0481578947368","use DOC of each portion"
"TMP_C_POOLED_T2","C","T2","1.1","pooled sample collected from only one grid; pooled DOC = that grid's instrument DOC value"
"TMP_C_POOLED_T3","C","T3","16.6234285714286","use plot avg DOC for portions missing DOC"
"TMP_FW_POOLED_20220613","FW","20220613","10.6096982758621","use plot avg DOC for portions missing DOC"
"TMP_FW_POOLED_20220615","FW","20220615","8.02583333333333","use plot avg DOC for portions missing DOC"
"TMP_FW_POOLED_20220718","FW","20220718","11.6382222222222","use DOC of each portion"
"TMP_FW_POOLED_20220721","FW","20220721","11.1534615384615","use data from other day in the month to fill in gaps"
"TMP_FW_POOLED_T0","FW","T0","15.0241085271318","use plot avg DOC for portions missing DOC"
"TMP_FW_POOLED_T1","FW","T1","9.42627659574468","use DOC of each portion"
"TMP_SW_POOLED_20220613","SW","20220613","17.9010896551724","use plot avg DOC for portions missing DOC"
"TMP_SW_POOLED_20220615","SW","20220615","13.9905263157895","use DOC of each portion"
"TMP_SW_POOLED_20220718","SW","20220718","15.6496875","use DOC of each portion"
"TMP_SW_POOLED_20220721","SW","20220721","19.985","use data from other day in the month to fill in gaps"
"TMP_SW_POOLED_T1","SW","T1","8.84419117647059","use plot avg DOC for portions missing DOC"
