sample_id,Plot,Timepoint,SUVA254,FI,Datetime_Local,Datetime_EST
TMP_FW_POOLED_T3_CDOM,FW,T3,2.128,1.5074,2022-06-23 09:38:00 EDT,2022-06-23 08:38:00 -05
TMP_C_POOLED_20220613_CDOM,C,20220613,3.0092,1.5611,2022-06-13 11:00:00 EDT,2022-06-13 10:00:00 -05
TMP_SW_POOLED_20220613_CDOM,SW,20220613,3.4323,1.5038,2022-06-13 11:00:00 EDT,2022-06-13 10:00:00 -05
TMP_C_POOLED_T3_CDOM,C,T3,2.7981,1.5551,2022-06-23 09:38:00 EDT,2022-06-23 08:38:00 -05
TMP_SW_POOLED_T2_CDOM,SW,T2,1.4994,1.7699,2022-06-22 16:14:00 EDT,2022-06-22 15:14:00 -05
TMP_FW_POOLED_20220615_CDOM,FW,20220615,4.4248,1.5501,2022-06-15 12:00:00 EDT,2022-06-15 11:00:00 -05
TMP_FW_POOLED_T1_CDOM,FW,T1,2.1837,1.5039,2022-06-22 12:45:00 EDT,2022-06-22 11:45:00 -05
TMP_SW_POOLED_T1_CDOM,SW,T1,1.8683,1.6909,2022-06-22 12:47:00 EDT,2022-06-22 11:47:00 -05
TMP_FW_POOLED_20220613_CDOM,FW,20220613,2.7662,1.5373000000000001,2022-06-13 11:00:00 EDT,2022-06-13 10:00:00 -05
TMP_FW_POOLED_T0_CDOM,FW,T0,2.7693,1.5585,2022-06-20 10:15:00 EDT,2022-06-20 09:15:00 -05
TMP_C_POOLED_20220615_CDOM,C,20220615,2.8703,1.5588,2022-06-15 12:00:00 EDT,2022-06-15 11:00:00 -05
TMP_FW_POOLED_T2_CDOM,FW,T2,3.1195,1.4875,2022-06-22 16:14:00 EDT,2022-06-22 15:14:00 -05
TMP_C_POOLED_T4_CDOM,C,T4,2.689,1.5317,2022-06-24 12:00:00 EDT,2022-06-24 11:00:00 -05
TMP_SW_POOLED_T3_CDOM,SW,T3,1.3431,1.8218,2022-06-23 09:41:00 EDT,2022-06-23 08:41:00 -05
TMP_SW_POOLED_T4_CDOM,SW,T4,1.3384,1.7364,2022-06-24 12:15:00 EDT,2022-06-24 11:15:00 -05
TMP_FW_POOLED_T4_CDOM,FW,T4,3.0134,1.52,2022-06-24 12:16:00 EDT,2022-06-24 11:16:00 -05
