Plot,Timepoint,n,doc_mg_l_sd,doc_mg_l_se,doc_mg_l,tdn_mg_l_sd,tdn_mg_l_se,tdn_mg_l,date
C,T0,3,3.84,2.22,17.54,0.05,0.03,0.61,2022-06-15
C,T2,1,NA,NA,19.16,NA,NA,0.59,2022-06-22
C,T3,4,5.64,2.82,19.97,0.16,0.08,0.6,2022-06-23
C,T4,6,4.87,1.99,20.32,0.31,0.13,0.84,2022-06-24
C,T5,7,4.75,1.79,14.3,0.42,0.16,0.76,2022-07-18
FW,T0,4,5.04,2.52,10.85,0.19,0.09,0.47,2022-06-15
FW,T1,7,8.48,3.21,8.64,0.15,0.06,0.27,2022-06-22
FW,T2,9,5.34,1.78,9,0.47,0.16,0.39,2022-06-22
FW,T3,9,2.58,0.86,9.79,0.1,0.03,0.36,2022-06-23
FW,T4,10,3.28,1.04,11.32,0.21,0.07,0.47,2022-06-24
FW,T5,6,2.53,1.03,11.1,0.39,0.16,0.73,2022-07-18
SW,T0,1,NA,NA,21.12,NA,NA,0.97,2022-06-15
SW,T1,5,4.06,1.81,9.88,0.22,0.1,0.56,2022-06-22
SW,T2,9,4,1.33,8.1,0.48,0.16,0.66,2022-06-22
SW,T3,8,3.41,1.2,9.01,0.51,0.18,0.82,2022-06-23
SW,T4,10,3.6,1.14,10.53,0.38,0.12,0.77,2022-06-24
SW,T5,7,6.75,2.55,12.02,1.7,0.64,1.25,2022-07-18
